entity string,id
394.NGR_c00010,0
394.NGR_c11940,1
394.NGR_c35060,2
394.NGR_c22670,3
394.NGR_c22350,4
394.NGR_c19160,5
394.NGR_c22440,6
394.NGR_c33470,7
394.NGR_c27660,8
394.NGR_c32660,9
394.NGR_c08820,10
394.NGR_c05520,11
394.NGR_c35150,12
394.NGR_c08550,13
394.NGR_c00060,14
394.NGR_c36420,15
394.NGR_c36280,16
394.NGR_c13650,17
394.NGR_c13570,18
394.NGR_c12070,19
394.NGR_c10680,20
394.NGR_c13260,21
394.NGR_c35440,22
394.NGR_c23270,23
394.NGR_c16040,24
394.NGR_c13740,25
394.NGR_c14880,26
394.NGR_c21330,27
394.NGR_c18510,28
394.NGR_c22880,29
394.NGR_c29580,30
394.NGR_c26840,31
394.NGR_c26540,32
394.NGR_c28640,33
394.NGR_c33390,34
394.NGR_c29590,35
394.NGR_c32570,36
394.NGR_c08840,37
394.NGR_c04010,38
394.NGR_c04140,39
394.NGR_c09080,40
394.NGR_c00070,41
394.NGR_c16790,42
394.NGR_c09890,43
394.NGR_c00080,44
394.NGR_c01580,45
394.NGR_c36910,46
394.NGR_c16410,47
394.NGR_c09130,48
394.NGR_c00100,49
394.NGR_c11920,50
394.NGR_c10230,51
394.NGR_c11910,52
394.NGR_c11810,53
394.NGR_c10850,54
394.NGR_c10830,55
394.NGR_c11790,56
394.NGR_c11780,57
394.NGR_c01470,58
394.NGR_c12020,59
394.NGR_c11960,60
394.NGR_c11930,61
394.NGR_c12010,62
394.NGR_c11980,63
394.NGR_c11990,64
394.NGR_c12030,65
394.NGR_c12060,66
394.NGR_c12130,67
394.NGR_c12080,68
394.NGR_c12090,69
394.NGR_c34160,70
394.NGR_c23330,71
394.NGR_c16470,72
394.NGR_c16360,73
394.NGR_c22720,74
394.NGR_c31790,75
394.NGR_c26680,76
394.NGR_c23410,77
394.NGR_c29220,78
394.NGR_c03880,79
394.NGR_c35860,80
394.NGR_c35730,81
394.NGR_c35950,82
394.NGR_c09410,83
394.NGR_c00110,84
394.NGR_c10340,85
394.NGR_c09450,86
394.NGR_c04080,87
394.NGR_c35070,88
394.NGR_c07930,89
394.NGR_c00120,90
394.NGR_c23940,91
394.NGR_c12730,92
394.NGR_c10350,93
394.NGR_c17530,94
394.NGR_c00130,95
394.NGR_c20630,96
394.NGR_c21210,97
394.NGR_c04790,98
394.NGR_c27190,99
394.NGR_c24330,100
394.NGR_c24320,101
394.NGR_c31110,102
394.NGR_c33410,103
394.NGR_c03920,104
394.NGR_c35680,105
394.NGR_c03930,106
394.NGR_c05160,107
394.NGR_c04820,108
394.NGR_c00480,109
394.NGR_c05420,110
394.NGR_c34420,111
394.NGR_c03950,112
394.NGR_c00150,113
394.NGR_c33890,114
394.NGR_c33900,115
394.NGR_c00170,116
394.NGR_c24200,117
394.NGR_c02560,118
394.NGR_c23200,119
394.NGR_c11830,120
394.NGR_c01430,121
394.NGR_c11770,122
394.NGR_c10800,123
394.NGR_c12620,124
394.NGR_c11840,125
394.NGR_c12180,126
394.NGR_c12140,127
394.NGR_c12990,128
394.NGR_c12960,129
394.NGR_c12970,130
394.NGR_c20240,131
394.NGR_c14910,132
394.NGR_c16500,133
394.NGR_c15380,134
394.NGR_c01850,135
394.NGR_c17060,136
394.NGR_c17310,137
394.NGR_c02310,138
394.NGR_c03350,139
394.NGR_c02850,140
394.NGR_c02860,141
394.NGR_c34460,142
394.NGR_c35170,143
394.NGR_c28590,144
394.NGR_c28410,145
394.NGR_c29150,146
394.NGR_c02870,147
394.NGR_c00280,148
394.NGR_c29670,149
394.NGR_c31490,150
394.NGR_c07040,151
394.NGR_c05400,152
394.NGR_c04060,153
394.NGR_c35180,154
394.NGR_c04310,155
394.NGR_c07870,156
394.NGR_c07830,157
394.NGR_c07610,158
394.NGR_c00180,159
394.NGR_c11020,160
394.NGR_c13140,161
394.NGR_c28180,162
394.NGR_c16740,163
394.NGR_c26930,164
394.NGR_c16840,165
394.NGR_c16750,166
394.NGR_c16830,167
394.NGR_c00190,168
394.NGR_c09020,169
394.NGR_c28800,170
394.NGR_c32340,171
394.NGR_c09010,172
394.NGR_c32850,173
394.NGR_c33820,174
394.NGR_c32880,175
394.NGR_c34870,176
394.NGR_c09030,177
394.NGR_c00210,178
394.NGR_c00220,179
394.NGR_c10380,180
394.NGR_c09730,181
394.NGR_c11160,182
394.NGR_c11700,183
394.NGR_c06660,184
394.NGR_c19360,185
394.NGR_c15850,186
394.NGR_c14130,187
394.NGR_c15310,188
394.NGR_c17540,189
394.NGR_c17390,190
394.NGR_c17500,191
394.NGR_c24030,192
394.NGR_c20770,193
394.NGR_c22810,194
394.NGR_c27630,195
394.NGR_c00260,196
394.NGR_c04610,197
394.NGR_c33000,198
394.NGR_c03090,199
394.NGR_c29070,200
394.NGR_c28940,201
394.NGR_c30080,202
394.NGR_c29180,203
394.NGR_c00310,204
394.NGR_c32700,205
394.NGR_c33950,206
394.NGR_c04570,207
394.NGR_c37140,208
394.NGR_c35660,209
394.NGR_c04180,210
394.NGR_c00660,211
394.NGR_c00240,212
394.NGR_c30720,213
394.NGR_c05970,214
394.NGR_c30710,215
394.NGR_c05940,216
394.NGR_c30730,217
394.NGR_c05960,218
394.NGR_c07340,219
394.NGR_c00250,220
394.NGR_c11120,221
394.NGR_c13010,222
394.NGR_c00490,223
394.NGR_c00420,224
394.NGR_c10330,225
394.NGR_c26130,226
394.NGR_c12230,227
394.NGR_c11970,228
394.NGR_c11950,229
394.NGR_c12050,230
394.NGR_c12120,231
394.NGR_c02440,232
394.NGR_c16060,233
394.NGR_c13420,234
394.NGR_c12790,235
394.NGR_c14760,236
394.NGR_c13620,237
394.NGR_c15420,238
394.NGR_c23290,239
394.NGR_c23280,240
394.NGR_c36200,241
394.NGR_c27650,242
394.NGR_c29060,243
394.NGR_c29000,244
394.NGR_c30930,245
394.NGR_c33860,246
394.NGR_c32520,247
394.NGR_c32230,248
394.NGR_c32820,249
394.NGR_c35720,250
394.NGR_c35580,251
394.NGR_c00830,252
394.NGR_c37160,253
394.NGR_c36260,254
394.NGR_c06600,255
394.NGR_c04930,256
394.NGR_c08870,257
394.NGR_c08860,258
394.NGR_c09200,259
394.NGR_c08900,260
394.NGR_c00270,261
394.NGR_c00680,262
394.NGR_c26990,263
394.NGR_c30300,264
394.NGR_c30840,265
394.NGR_c02570,266
394.NGR_c02550,267
394.NGR_c10410,268
394.NGR_c02540,269
394.NGR_c17380,270
394.NGR_c10790,271
394.NGR_c12980,272
394.NGR_c01200,273
394.NGR_c01120,274
394.NGR_c01490,275
394.NGR_c14750,276
394.NGR_c01480,277
394.NGR_c17050,278
394.NGR_c17370,279
394.NGR_c01840,280
394.NGR_c17460,281
394.NGR_c18100,282
394.NGR_c20850,283
394.NGR_c18610,284
394.NGR_c21130,285
394.NGR_c24140,286
394.NGR_c22860,287
394.NGR_c24240,288
394.NGR_c02530,289
394.NGR_c02460,290
394.NGR_c30290,291
394.NGR_c02580,292
394.NGR_c26210,293
394.NGR_c26060,294
394.NGR_c02590,295
394.NGR_c26090,296
394.NGR_c27580,297
394.NGR_c02670,298
394.NGR_c30020,299
394.NGR_c33930,300
394.NGR_c06520,301
394.NGR_c03230,302
394.NGR_c31500,303
394.NGR_c30850,304
394.NGR_c33680,305
394.NGR_c33490,306
394.NGR_c33200,307
394.NGR_c33920,308
394.NGR_c33690,309
394.NGR_c36240,310
394.NGR_c35160,311
394.NGR_c35920,312
394.NGR_c06270,313
394.NGR_c00530,314
394.NGR_c04920,315
394.NGR_c04220,316
394.NGR_c06210,317
394.NGR_c06200,318
394.NGR_c07840,319
394.NGR_c06650,320
394.NGR_c00850,321
394.NGR_c06540,322
394.NGR_c07770,323
394.NGR_c07850,324
394.NGR_c08370,325
394.NGR_c08210,326
394.NGR_c00300,327
394.NGR_c20170,328
394.NGR_c21360,329
394.NGR_c20160,330
394.NGR_c01990,331
394.NGR_c01690,332
394.NGR_c21610,333
394.NGR_c21590,334
394.NGR_c21580,335
394.NGR_c26080,336
394.NGR_c23320,337
394.NGR_c26920,338
394.NGR_c37150,339
394.NGR_c06040,340
394.NGR_c04900,341
394.NGR_c04910,342
394.NGR_c07880,343
394.NGR_c13470,344
394.NGR_c14650,345
394.NGR_c10910,346
394.NGR_c10250,347
394.NGR_c16880,348
394.NGR_c01670,349
394.NGR_c10860,350
394.NGR_c31720,351
394.NGR_c15570,352
394.NGR_c11600,353
394.NGR_c15580,354
394.NGR_c29660,355
394.NGR_c22710,356
394.NGR_c29650,357
394.NGR_c05820,358
394.NGR_c36750,359
394.NGR_c36100,360
394.NGR_c04290,361
394.NGR_c05610,362
394.NGR_c04990,363
394.NGR_c05560,364
394.NGR_c00320,365
394.NGR_c00350,366
394.NGR_c11900,367
394.NGR_c00360,368
394.NGR_c12110,369
394.NGR_c12910,370
394.NGR_c13360,371
394.NGR_c06100,372
394.NGR_c00370,373
394.NGR_c15460,374
394.NGR_c15400,375
394.NGR_c13630,376
394.NGR_c00380,377
394.NGR_c32120,378
394.NGR_c00390,379
394.NGR_c11030,380
394.NGR_c04160,381
394.NGR_c12800,382
394.NGR_c36090,383
394.NGR_c07350,384
394.NGR_c09070,385
394.NGR_c00400,386
394.NGR_c29610,387
394.NGR_c13320,388
394.NGR_c27040,389
394.NGR_c18080,390
394.NGR_c18030,391
394.NGR_c31570,392
394.NGR_c03510,393
394.NGR_c08920,394
394.NGR_c00410,395
394.NGR_c11890,396
394.NGR_c11730,397
394.NGR_c18070,398
394.NGR_c13430,399
394.NGR_c35770,400
394.NGR_c00460,401
394.NGR_c28350,402
394.NGR_c00470,403
394.NGR_c14310,404
394.NGR_c27220,405
394.NGR_c26720,406
394.NGR_c21220,407
394.NGR_c10370,408
394.NGR_c10700,409
394.NGR_c02080,410
394.NGR_c12710,411
394.NGR_c12560,412
394.NGR_c12830,413
394.NGR_c12770,414
394.NGR_c12850,415
394.NGR_c14590,416
394.NGR_c15600,417
394.NGR_c23510,418
394.NGR_c25130,419
394.NGR_c22700,420
394.NGR_c02240,421
394.NGR_c27230,422
394.NGR_c28430,423
394.NGR_c28710,424
394.NGR_c30700,425
394.NGR_c29910,426
394.NGR_c31260,427
394.NGR_c32250,428
394.NGR_c33610,429
394.NGR_c33520,430
394.NGR_c04950,431
394.NGR_c33990,432
394.NGR_c34070,433
394.NGR_c35830,434
394.NGR_c09480,435
394.NGR_c00510,436
394.NGR_c26660,437
394.NGR_c19710,438
394.NGR_c28090,439
394.NGR_c04190,440
394.NGR_c12610,441
394.NGR_c35490,442
394.NGR_c21450,443
394.NGR_c14740,444
394.NGR_c13000,445
394.NGR_c14410,446
394.NGR_c19480,447
394.NGR_c21010,448
394.NGR_c32380,449
394.NGR_c28440,450
394.NGR_c03210,451
394.NGR_c34590,452
394.NGR_c06590,453
394.NGR_c36810,454
394.NGR_c07270,455
394.NGR_c00520,456
394.NGR_c34540,457
394.NGR_c20840,458
394.NGR_c27590,459
394.NGR_c37100,460
394.NGR_c06370,461
394.NGR_c00540,462
394.NGR_c25980,463
394.NGR_c23710,464
394.NGR_c16330,465
394.NGR_c20150,466
394.NGR_c31730,467
394.NGR_c28230,468
394.NGR_c28730,469
394.NGR_c03130,470
394.NGR_c30500,471
394.NGR_c07200,472
394.NGR_c35560,473
394.NGR_c35360,474
394.NGR_c33280,475
394.NGR_c37030,476
394.NGR_c04230,477
394.NGR_c00560,478
394.NGR_c12640,479
394.NGR_c33620,480
394.NGR_c24880,481
394.NGR_c23800,482
394.NGR_c16920,483
394.NGR_c24870,484
394.NGR_c27940,485
394.NGR_c25630,486
394.NGR_c25640,487
394.NGR_c00570,488
394.NGR_c00580,489
394.NGR_c00590,490
394.NGR_c15750,491
394.NGR_c35700,492
394.NGR_c00610,493
394.NGR_c26630,494
394.NGR_c25290,495
394.NGR_c16950,496
394.NGR_c37060,497
394.NGR_c00740,498
394.NGR_c00620,499
394.NGR_c19590,500
394.NGR_c13520,501
394.NGR_c13800,502
394.NGR_c27980,503
394.NGR_c20740,504
394.NGR_c19780,505
394.NGR_c24900,506
394.NGR_c00630,507
394.NGR_c28560,508
394.NGR_c35220,509
394.NGR_c27970,510
394.NGR_c20730,511
394.NGR_c19600,512
394.NGR_c24910,513
394.NGR_c35210,514
394.NGR_c28570,515
394.NGR_c00640,516
394.NGR_c34090,517
394.NGR_c10310,518
394.NGR_c10220,519
394.NGR_c10160,520
394.NGR_c11870,521
394.NGR_c11860,522
394.NGR_c11880,523
394.NGR_c27260,524
394.NGR_c12000,525
394.NGR_c12040,526
394.NGR_c13340,527
394.NGR_c12150,528
394.NGR_c12470,529
394.NGR_c15820,530
394.NGR_c13980,531
394.NGR_c15830,532
394.NGR_c16080,533
394.NGR_c21460,534
394.NGR_c02270,535
394.NGR_c23790,536
394.NGR_c23590,537
394.NGR_c26390,538
394.NGR_c24410,539
394.NGR_c27320,540
394.NGR_c28530,541
394.NGR_c28540,542
394.NGR_c31700,543
394.NGR_c33540,544
394.NGR_c33300,545
394.NGR_c34050,546
394.NGR_c03730,547
394.NGR_c36610,548
394.NGR_c05120,549
394.NGR_c03770,550
394.NGR_c07470,551
394.NGR_c05840,552
394.NGR_c08290,553
394.NGR_c08240,554
394.NGR_c09260,555
394.NGR_c00700,556
394.NGR_c26700,557
394.NGR_c24830,558
394.NGR_c10190,559
394.NGR_c17170,560
394.NGR_c26940,561
394.NGR_c27790,562
394.NGR_c35620,563
394.NGR_c35130,564
394.NGR_c36120,565
394.NGR_c00750,566
