concept:politicsblog:denver_post	concept:competeswith	concept:company:inter_press_service	0.9560547
concept:politicsblog:the_telegraph	concept:competeswith	concept:company:united_press_international001	0.9560547
concept:politicsblog:economist	concept:competeswith	concept:newspaper:times	0.9295032
concept:newspaper:orange_county_register	concept:competeswith	concept:website:chicago_tribune	0.859375
concept:newspaper:times	concept:competeswith	concept:company:smart_money001	0.9648423
concept:company:discovery_channel001	concept:competeswith	concept:politicsblog:los_angeles_times	0.8593664
concept:blog:the_new_york_post	concept:competeswith	concept:company:al_jazeera_and_al_arabiya	0.9626465
concept:politicsblog:image	concept:competeswith	concept:company:local	0.859375
concept:newspaper:business_week	concept:competeswith	concept:blog:legal_times	0.99780273
concept:newspaper:journal	concept:competeswith	concept:website:cbs_evening_news	1.0
concept:company:la	concept:competeswith	concept:company:far_eastern_economic_review	0.9906616
concept:blog:legal_times	concept:competeswith	concept:blog:fortune	0.9978025
concept:politicsblog:denver_post	concept:competeswith	concept:blog:scientific_american	0.859375
concept:politicsblog:pittsburgh_post_gazette	concept:competeswith	concept:company:vanity_fair	0.8593664
concept:politicsblog:the_daily_star	concept:competeswith	concept:newspaper:times	0.859375
concept:publication:post	concept:competeswith	concept:company:marketwatch	0.859375
concept:blog:globe_and_mail	concept:competeswith	concept:politicsblog:washington_post	0.85937476
concept:company:women	concept:competeswith	concept:company:talon_news	0.9296875
concept:publication:bookforum	concept:competeswith	concept:politicsblog:buffalo_news	0.9560547
concept:blog:business_week	concept:competeswith	concept:newspaper:hollywood_reporter	0.9626465
concept:company:time_magazine001	concept:competeswith	concept:politicsblog:foxnews	0.859375
concept:newspaper:business_week	concept:competeswith	concept:company:far_eastern_economic_review	0.99121094
concept:politicsblog:washington_post	concept:competeswith	concept:company:examiner	0.99999917
concept:blog:good_housekeeping_magazine	concept:competeswith	concept:website:scientific_american	0.859375
concept:politicsblog:huffington_post	concept:competeswith	concept:company:salon	0.9118345
concept:company:daily_news001	concept:competeswith	concept:blog:washington_examiner	0.8593749
concept:politicsblog:houston_chronicle	concept:competeswith	concept:politicsblog:bloomberg	0.9906616
concept:blog:new_york_post	concept:competeswith	concept:publication:nbc_nightly_news	0.89453125
concept:company:financial	concept:competeswith	concept:company:krnv_tv	0.89580405
concept:company:la	concept:competeswith	concept:blog:legal_times	0.9972534
concept:politicsblog:npr	concept:competeswith	concept:website:outside_magazine	0.96484363
concept:company:esquire	concept:competeswith	concept:website:cbs_evening_news	0.859375
